,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
17,2022-07-01,1758.0,1780.0,1730.11,1746.82,3959
16,2022-07-04,1746.5,1770.0,1732.11,1737.84,3982
15,2022-07-05,1748.99,1748.99,1739.0,1740.02,391
14,2022-07-06,1744.99,1750.0,1730.0,1735.09,5737
13,2022-07-07,1721.01,1734.96,1721.01,1726.51,2633
12,2022-07-13,1729.0,1760.0,1722.0,1739.69,15236
11,2022-07-14,1759.0,1775.0,1745.0,1770.29,16260
10,2022-07-15,1779.0,1779.0,1746.01,1751.6,20568
9,2022-07-18,1750.01,1750.01,1730.0,1739.33,8996
8,2022-07-19,1731.0,1744.0,1717.0,1721.59,23140
7,2022-07-20,1737.9,1737.9,1700.0,1714.72,33706
6,2022-07-21,1725.0,1726.99,1700.0,1700.46,1416
5,2022-07-22,1700.0,1709.99,1685.0,1689.97,41843
4,2022-07-25,1685.0,1725.0,1676.01,1713.63,9891
3,2022-07-26,1707.99,1717.0,1683.0,1704.12,46046
2,2022-07-27,1709.99,1718.0,1695.02,1701.21,55873
1,2022-07-28,1704.0,1712.1,1690.0,1699.87,68536
0,2022-07-29,1696.0,1720.0,1690.0,1695.88,45967
38,2022-08-01,1690.2,1715.0,1690.2,1695.14,7851
37,2022-08-02,1696.0,1706.49,1691.0,1695.95,6077
36,2022-08-03,1695.95,1730.0,1695.95,1703.82,31440
35,2022-08-04,1709.98,1760.0,1686.0,1700.27,82468
34,2022-08-05,1700.0,1704.95,1672.0,1686.61,67527
33,2022-08-10,1688.0,1698.0,1680.0,1680.35,39339
32,2022-08-11,1689.9,1695.0,1674.23,1678.02,33253
31,2022-08-12,1689.0,1695.0,1680.0,1689.65,28237
30,2022-08-15,1690.0,1707.85,1690.0,1700.09,61527
29,2022-08-16,1690.11,1700.0,1685.0,1687.06,21913
28,2022-08-17,1694.99,1705.0,1685.01,1690.07,20558
27,2022-08-18,1699.99,1700.0,1686.01,1695.69,15692
26,2022-08-19,1699.89,1699.95,1689.97,1693.65,18260
25,2022-08-22,1686.11,1699.2,1685.0,1696.47,12158
24,2022-08-23,1695.99,1729.99,1695.99,1719.78,55123
23,2022-08-24,1715.0,1722.0,1712.0,1719.63,42345
22,2022-08-25,1719.0,1720.0,1694.0,1700.14,53614
21,2022-08-26,1698.0,1705.0,1690.0,1692.51,63894
20,2022-08-29,1678.8,1701.0,1678.8,1697.04,5059
19,2022-08-30,1700.99,1705.0,1690.0,1692.74,12159
18,2022-08-31,1692.01,1703.0,1683.0,1688.06,10484
60,2022-09-01,1699.98,1714.0,1691.0,1705.83,33558
59,2022-09-02,1704.99,1704.99,1695.0,1695.6,16879
58,2022-09-05,1691.01,1699.99,1686.02,1690.01,56512
57,2022-09-06,1690.0,1691.0,1675.0,1679.12,10292
56,2022-09-07,1699.0,1699.0,1675.0,1679.92,24654
55,2022-09-08,1679.0,1685.0,1675.0,1679.68,52791
54,2022-09-09,1679.0,1683.0,1675.8,1678.15,24460
53,2022-09-12,1679.99,1685.0,1674.99,1680.8,6178
52,2022-09-13,1679.0,1682.0,1677.0,1677.52,5903
51,2022-09-14,1679.0,1699.4,1675.0,1689.63,12888
50,2022-09-15,1687.0,1692.0,1675.0,1676.83,24237
49,2022-09-16,1689.0,1689.0,1650.0,1670.6,31794
48,2022-09-19,1671.0,1680.0,1665.0,1677.36,15284
47,2022-09-20,1625.01,1645.0,1615.0,1621.67,15394
46,2022-09-21,1625.0,1640.0,1595.0,1622.68,8585
45,2022-09-22,1624.99,1625.0,1604.0,1615.57,6791
44,2022-09-23,1620.0,1624.0,1592.0,1611.45,8774
43,2022-09-26,1609.99,1620.0,1595.0,1607.89,7781
42,2022-09-27,1605.0,1615.0,1595.0,1595.36,46196
41,2022-09-28,1600.0,1601.0,1550.0,1560.27,17818
40,2022-09-29,1560.27,1565.0,1539.06,1540.8,74332
39,2022-09-30,1540.0,1610.0,1535.0,1564.81,68747
81,2022-10-03,1560.01,1578.99,1557.01,1568.91,12164
80,2022-10-04,1569.99,1575.0,1550.0,1551.9,36986
79,2022-10-05,1554.0,1615.0,1554.0,1599.28,37317
78,2022-10-06,1600.0,1629.99,1590.0,1615.1,42003
77,2022-10-07,1615.0,1621.0,1602.11,1604.43,4283
76,2022-10-10,1603.0,1615.0,1603.0,1608.68,4706
75,2022-10-11,1610.99,1617.5,1580.0,1586.31,15458
74,2022-10-12,1587.0,1618.0,1587.0,1604.26,33925
73,2022-10-13,1605.0,1609.0,1600.01,1602.43,2687
72,2022-10-14,1616.0,1622.0,1605.0,1611.26,12635
71,2022-10-17,1606.0,1617.0,1600.0,1611.09,23040
70,2022-10-18,1617.0,1629.0,1610.5,1624.05,33699
69,2022-10-19,1625.0,1677.0,1625.0,1669.52,64524
68,2022-10-20,1680.0,1680.0,1659.0,1659.86,9218
67,2022-10-21,1666.0,1699.0,1662.99,1683.49,53117
66,2022-10-24,1699.0,1728.0,1695.0,1710.23,78111
65,2022-10-25,1705.01,1715.0,1700.0,1708.84,26644
64,2022-10-26,1703.0,1703.0,1677.0,1680.0,45244
63,2022-10-27,1681.0,1699.0,1675.0,1679.76,33565
62,2022-10-28,1679.76,1680.0,1675.0,1675.12,29325
61,2022-10-31,1675.0,1690.0,1674.05,1682.84,12302
102,2022-11-01,1680.0,1695.0,1675.1,1680.12,92775
101,2022-11-02,1676.0,1689.99,1675.0,1684.95,96106
100,2022-11-03,1686.0,1692.99,1676.0,1685.46,9928
99,2022-11-04,1681.81,1685.0,1679.0,1682.4,6464
98,2022-11-07,1683.0,1688.0,1680.0,1684.98,16064
97,2022-11-08,1685.0,1690.0,1680.1,1684.08,18265
96,2022-11-10,1685.0,1689.9,1677.0,1681.33,13599
95,2022-11-11,1681.33,1690.0,1677.0,1680.22,50110
94,2022-11-14,1676.0,1683.0,1675.03,1679.95,8312
93,2022-11-15,1679.0,1680.0,1670.0,1670.99,3406
92,2022-11-16,1671.0,1676.0,1670.0,1670.54,8109
91,2022-11-17,1679.0,1679.0,1671.0,1674.48,7182
90,2022-11-18,1673.0,1674.96,1668.5,1668.85,3443
89,2022-11-21,1668.0,1670.0,1664.0,1665.52,5361
88,2022-11-22,1669.0,1669.0,1664.0,1665.76,25125
87,2022-11-23,1666.0,1675.0,1664.99,1671.22,26862
86,2022-11-24,1672.0,1675.0,1669.0,1669.95,23268
85,2022-11-25,1679.0,1679.0,1669.95,1674.99,21514
84,2022-11-28,1669.0,1669.0,1639.0,1648.06,29138
83,2022-11-29,1650.0,1661.99,1650.0,1659.01,25409
82,2022-11-30,1661.0,1675.0,1659.01,1670.19,49322
124,2022-12-01,1670.0,1679.99,1670.0,1674.53,7716
123,2022-12-02,1675.0,1680.0,1663.0,1664.71,20473
122,2022-12-05,1666.0,1667.0,1661.0,1665.16,4997
121,2022-12-06,1661.0,1666.0,1653.0,1659.65,28475
120,2022-12-07,1664.0,1669.0,1658.01,1667.24,25250
119,2022-12-08,1667.99,1670.0,1655.11,1659.54,28309
118,2022-12-09,1661.0,1678.0,1659.54,1670.42,69750
117,2022-12-12,1670.0,1674.0,1670.0,1673.66,6068
116,2022-12-13,1675.0,1680.0,1675.0,1679.97,16254
115,2022-12-14,1680.0,1680.0,1671.0,1674.04,6368
114,2022-12-15,1676.0,1676.0,1646.47,1648.49,91823
113,2022-12-16,1650.0,1680.0,1650.0,1652.18,11203
112,2022-12-19,1655.0,1655.0,1638.0,1638.64,33623
111,2022-12-20,1639.0,1639.0,1610.0,1612.81,32716
110,2022-12-21,1613.0,1621.0,1587.0,1590.45,45925
109,2022-12-22,1637.09,1637.09,1566.09,1569.46,15336
108,2022-12-23,1570.0,1573.0,1540.0,1544.06,64119
107,2022-12-26,1550.0,1556.5,1539.0,1554.28,26714
106,2022-12-27,1550.0,1559.0,1539.0,1543.25,9064
105,2022-12-28,1543.25,1543.25,1515.0,1522.44,44512
104,2022-12-29,1523.0,1525.0,1513.0,1516.96,17283
103,2022-12-30,1516.0,1576.0,1509.99,1546.96,23853
